a_fullVisitorId,a_hits_customDimensions_value,a_COUNT,a_SUM_totals_pageviews,a_SUM_totals_hits,a_SUM_totals_timeOnSite,a_SUM_hits_hitNumber,a_diffdays_latest,a_diffdays_oldest,a_desktop_flag,a_tablet_flag,a_mobile_flag,a_OS_Windows_flag,a_OS_Macintosh_flag,a_SUM_morning_visit,a_SUM_daytime_visit,a_SUM_evening_visit,a_SUM_midnight_visit,a_page201404,a_page201405,a_page201406,b_hits_customDimensions_value,b_CV_flag
481864790506686122,112192889.1407927978,4,5,10,34,4,24,27,1,0,0,1,0,0,1,0,3,0,0,0,112192889.1407927978,0
528878503256428111,123139122.1408273999,1,1,2,1,1,24,24,1,0,0,1,0,0,0,1,0,0,0,0,123139122.1408273999,0
748223191732706678,174209287.1408228726,1,1,2,1,1,24,24,1,0,0,1,0,1,0,0,0,0,0,0,174209287.1408228726,0
748429332981464687,174257283.1406647919,3,4,8,97,5,11,42,1,0,0,1,0,0,0,0,3,0,0,0,174257283.1406647919,0
796003345691057364,185333971.1408244948,1,1,2,2,1,24,24,1,0,0,1,0,0,1,0,0,0,0,0,185333971.1408244948,0
1046442716922149325,243643931.1408268749,1,1,1,1,1,24,24,1,0,0,1,0,0,0,1,0,0,0,0,243643931.1408268749,0
1959899518236381050,456324666.1408257914,1,1,2,2,1,24,24,1,0,0,1,0,0,1,0,0,0,0,0,456324666.1408257914,0
5430703976438863899,1264434302.1408276507,1,1,2,3,1,24,24,1,0,0,0,1,0,0,1,0,1,0,0,1264434302.1408276507,0
5940293827405321561,1383082435.1408275801,1,1,2,2,1,24,24,1,0,0,1,0,0,0,1,0,0,0,0,1383082435.1408275801,0
8082400206415448210,1881830442.1408223378,1,1,2,1,1,24,24,1,0,0,1,0,1,0,0,0,0,0,0,1881830442.1408223378,0
14181918996845244,3301985.1409962684,1,1,2,1,1,4,4,0,0,1,1,0,1,0,0,0,0,0,0,3301985.1409962684,0
1297650895890864505,302132893.1409997177,1,1,2,1,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,302132893.1409997177,0
1312456515743557168,305580095.1409984048,1,1,2,2,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,305580095.1409984048,0
1635319850312783478,380752573.1409930870,1,1,2,1,1,4,4,1,0,0,1,0,0,0,0,1,0,0,0,380752573.1409930870,1
1766218105451446430,411229698.1397489822,1,1,2,1,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,411229698.1397489822,1
2945606478449018164,685827452.1410008372,1,1,2,4,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,685827452.1410008372,1
3575749730632390789,832544111.1409996933,1,1,2,10,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,832544111.1409996933,0
4054788624523876956,944079045.1409964636,1,4,5,62,1,4,4,1,0,0,1,0,1,0,0,0,0,0,0,944079045.1409964636,0
4499116099535301898,1047532097.1410002186,1,1,2,1,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,1047532097.1410002186,0
4788339828608146975,1114872244.1410014751,1,1,1,1,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,1114872244.1410014751,0
4900051399696082228,1140882121.1409967412,1,1,1,1,1,4,4,1,0,0,1,0,1,0,0,0,0,0,0,1140882121.1409967412,0
5984988223456851218,1393488660.1409987858,1,2,3,17,1,4,4,0,0,1,0,0,0,1,0,0,0,0,0,1393488660.1409987858,0
6680026846639777482,1555314950.1409902282,4,3,7,4,4,4,5,1,0,0,1,0,0,4,0,0,0,0,0,1555314950.1409902282,1
7349133363527740056,1711103451.1410001560,1,1,2,1,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,1711103451.1410001560,0
8856790055485303351,2062132129.1399450167,1,1,2,1,1,4,4,1,0,0,1,0,0,0,0,1,0,0,0,2062132129.1399450167,1
8857953961568289019,2062403122.1409990907,1,1,2,1,1,4,4,1,0,0,1,0,0,0,1,0,0,0,0,2062403122.1409990907,1
133259187198187025,31026822.1409373713,1,1,2,1,1,11,11,1,0,0,1,0,0,1,0,0,0,0,0,31026822.1409373713,0
