CRM_ID,hits_customDimensions_value,gender,birthday,state_code,annual_income_dollar,create_date,customer_level,CV_flag
1,10000001.10000001,1,1981,0,70800,1/29/2010,1,0
2,10000002.10000002,2,1979,22,83863,2/2/2010,3,1
3,10000003.10000003,2,1988,13,39085,2/6/2010,3,1
4,10000004.10000004,1,1979,26,73761,2/10/2010,1,0
5,10000005.10000005,2,1963,14,70727,2/14/2010,2,0
6,10000006.10000006,1,1953,6,81829,2/18/2010,1,0
7,10000007.10000007,2,1993,21,40083,2/22/2010,1,0
8,10000008.10000008,1,1990,0,81726,2/26/2010,2,0
9,10000009.10000009,2,1968,29,88059,3/2/2010,2,0
10,10000010.10000010,1,1951,25,85747,3/6/2010,1,0
11,10000011.10000011,1,1984,14,78014,3/10/2010,2,0
12,10000012.10000012,1,1974,0,49832,3/14/2010,2,0
13,10000013.10000013,1,1972,37,84070,3/18/2010,1,0
14,10000014.10000014,1,1982,28,46247,3/22/2010,2,0
15,10000015.10000015,1,1981,0,55062,3/26/2010,2,0
16,10000016.10000016,1,1961,22,79580,3/30/2010,2,0
17,10000017.10000017,1,1964,36,48339,4/3/2010,2,0
18,10000018.10000018,1,1973,26,81334,4/7/2010,2,0
19,10000019.10000019,1,1974,13,34907,4/11/2010,1,0
20,10000020.10000020,1,1990,2,66613,4/15/2010,1,0
21,10000021.10000021,2,1980,13,63337,4/19/2010,2,0
22,10000022.10000022,1,1964,15,72959,4/23/2010,1,0
23,10000023.10000023,1,1966,0,56508,4/27/2010,1,0
24,10000024.10000024,1,1971,20,75639,5/1/2010,2,0
25,10000025.10000025,1,1976,23,43988,5/5/2010,2,0
26,10000026.10000026,1,1973,13,33078,5/9/2010,2,0
27,10000027.10000027,2,1966,9,62365,5/13/2010,2,0
28,10000028.10000028,1,1952,13,54837,5/17/2010,2,0
29,10000029.10000029,1,1980,1,47407,5/21/2010,1,0
30,10000030.10000030,2,1980,0,88635,5/25/2010,2,0
31,10000031.10000031,1,1975,13,51947,5/29/2010,2,0
32,10000032.10000032,1,1960,17,30445,6/2/2010,2,0
33,10000033.10000033,1,1997,0,78383,6/6/2010,1,0
34,10000034.10000034,2,1983,0,86295,6/10/2010,2,0
35,10000035.10000035,1,1986,0,53826,6/14/2010,2,0
36,10000036.10000036,1,1986,13,56565,6/18/2010,2,0
37,10000037.10000037,1,1964,12,79735,6/22/2010,2,0
38,10000038.10000038,2,1996,0,81635,6/26/2010,2,0
39,10000039.10000039,1,1990,9,45392,6/30/2010,2,0
40,10000040.10000040,1,1980,8,59734,7/4/2010,2,0
41,10000041.10000041,1,1972,25,82235,7/8/2010,1,0
42,10000042.10000042,1,1974,0,35139,7/12/2010,2,0
43,10000043.10000043,1,1979,14,60744,7/16/2010,2,0
44,10000044.10000044,1,1990,12,36748,7/20/2010,1,0
45,10000045.10000045,1,1964,13,66214,7/24/2010,1,0
46,10000046.10000046,2,1992,0,93726,7/28/2010,2,0
47,10000047.10000047,1,1980,13,95510,8/1/2010,1,0
48,10000048.10000048,1,1961,29,70730,8/5/2010,1,0
49,10000049.10000049,2,1992,26,40322,8/9/2010,2,0
50,10000050.10000050,1,1989,16,68004,8/13/2010,2,0
51,10000051.10000051,2,1991,0,60790,8/17/2010,2,0
52,10000052.10000052,1,1991,0,44629,8/21/2010,1,0
53,10000053.10000053,2,1995,13,55015,8/25/2010,2,0
54,10000054.10000054,1,1996,0,92645,8/29/2010,2,0
55,10000055.10000055,2,1995,0,30753,9/2/2010,2,0
56,10000056.10000056,2,1989,14,37283,9/6/2010,1,0
57,10000057.10000057,1,1970,27,66621,9/10/2010,1,0
58,10000058.10000058,1,1957,13,31083,9/14/2010,2,0
59,10000059.10000059,2,1994,12,62457,9/18/2010,2,0
60,10000060.10000060,1,1967,0,50603,9/22/2010,2,0
61,10000061.10000061,1,1975,0,97363,9/26/2010,2,0
62,10000062.10000062,1,1976,0,79945,9/30/2010,2,0
63,10000063.10000063,2,1982,28,74489,10/4/2010,5,1
64,10000064.10000064,1,1978,31,48859,10/8/2010,1,0
65,10000065.10000065,2,1988,8,71817,10/12/2010,1,0
66,10000066.10000066,2,1991,19,42181,10/16/2010,2,0
67,10000067.10000067,1,1989,10,67418,10/20/2010,1,0
68,10000068.10000068,1,1944,11,65665,10/24/2010,1,0
69,10000069.10000069,1,1958,13,30239,10/28/2010,2,0
70,10000070.10000070,1,1977,21,62670,11/1/2010,2,0
71,10000071.10000071,2,1989,13,98422,11/5/2010,2,0
72,10000072.10000072,1,1994,0,80129,11/9/2010,1,0
73,10000073.10000073,1,1975,23,35873,11/13/2010,2,0
74,10000074.10000074,2,1975,23,33850,11/17/2010,1,0
75,10000075.10000075,1,1972,13,84628,11/21/2010,1,0
76,10000076.10000076,2,1982,11,34071,11/25/2010,5,1
77,10000077.10000077,1,1975,14,36724,11/29/2010,1,0
78,10000078.10000078,2,1991,0,42931,12/3/2010,2,0
79,10000079.10000079,1,1987,0,52634,12/7/2010,2,0
80,10000080.10000080,1,1966,1,50752,12/11/2010,2,0
81,10000081.10000081,1,1970,13,57051,12/15/2010,5,1
82,10000082.10000082,2,1975,35,39174,12/19/2010,2,0
83,10000083.10000083,1,1962,14,89679,12/23/2010,2,0
84,10000084.10000084,2,1994,26,58397,12/27/2010,2,0
85,10000085.10000085,2,1976,0,73442,12/31/2010,1,0
86,10000086.10000086,2,1986,28,40276,1/1/2011,3,1
87,10000087.10000087,2,1983,13,38055,2/1/2013,1,0
88,10000088.10000088,1,1987,13,70211,2/1/2013,1,0
89,10000089.10000089,1,1960,22,85392,2/1/2013,2,0
90,10000090.10000090,2,1976,0,47859,2/1/2013,2,0
91,10000091.10000091,1,1969,26,82085,2/1/2013,1,0
92,10000092.10000092,1,1969,34,34439,2/1/2013,1,0
93,10000093.10000093,1,1985,1,98777,2/1/2013,2,0
94,10000094.10000094,1,1952,27,45172,2/1/2013,1,0
95,10000095.10000095,1,1978,13,78288,2/1/2013,2,0
96,10000096.10000096,1,1976,22,40846,2/1/2013,2,0
97,10000097.10000097,2,1981,0,37077,2/1/2013,2,0
98,10000098.10000098,2,1977,13,67205,2/1/2013,2,0
99,10000099.10000099,2,1989,14,67056,2/1/2013,2,0
100,10000100.10000100,1,1935,0,51304,2/1/2013,2,0
101,10000101.10000101,2,1980,40,78889,2/1/2013,1,0
102,10000102.10000102,1,1990,26,95623,2/1/2013,2,0
103,10000103.10000103,1,1985,40,52900,2/1/2013,2,0
104,10000104.10000104,2,1997,10,61906,2/1/2013,1,0
105,10000105.10000105,1,1994,0,65745,2/1/2013,2,0
106,10000106.10000106,2,1985,40,88290,2/1/2013,1,0
107,10000107.10000107,2,1978,23,69986,2/1/2013,1,0
108,10000108.10000108,1,1991,7,43602,2/1/2013,2,0
109,10000109.10000109,2,1989,13,96437,2/1/2013,2,0
110,10000110.10000110,1,1967,13,45937,2/1/2013,2,0
111,10000111.10000111,1,1982,13,85725,2/1/2013,1,0
112,10000112.10000112,2,1976,14,45016,2/1/2013,2,0
113,10000113.10000113,2,1988,45,61958,2/1/2013,1,0
114,10000114.10000114,2,1970,0,89469,2/1/2013,2,0
115,10000115.10000115,1,1996,0,83273,2/1/2013,2,0
116,10000116.10000116,2,1980,13,55214,2/1/2013,4,1
117,10000117.10000117,1,1975,0,40378,2/1/2013,1,0
118,10000118.10000118,2,1990,22,56539,2/1/2013,2,0
119,10000119.10000119,2,1989,47,31304,2/1/2013,3,1
120,10000120.10000120,2,1976,0,98847,2/1/2013,2,0
121,10000121.10000121,2,1977,27,46720,2/1/2013,1,0
