CRM_ID,hits_customDimensions_value,gender,birthday,state_code,annual_income_dollar,create_date,customer_level,CV_flag
1,1000273995.1407208856,1,1981,0,70800,2010/1/29,1,0
2,1000297146.1410146239,2,1979,22,83863,2010/2/2,3,1
3,1000727309.1409716284,2,1988,13,39085,2010/2/6,3,1
4,1001322266.1409187896,1,1979,26,73761,2010/2/10,1,0
5,1001580307.1409197933,2,1963,14,70727,2010/2/14,2,0
6,1001798379.1408883649,1,1953,6,81829,2010/2/18,1,0
7,1001841337.1406974849,2,1993,21,40083,2010/2/22,1,0
8,1001915250.1409809249,1,1990,0,81726,2010/2/26,2,0
9,1002010029.1407477737,2,1968,29,88059,2010/3/2,2,0
10,1002174486.1408083719,1,1951,25,85747,2010/3/6,1,0
11,100394386.1406603114,1,1984,14,78014,2010/3/10,2,0
12,1003994534.1404894011,1,1974,0,49832,2010/3/14,2,0
13,1004198518.1408889583,1,1972,37,84070,2010/3/18,1,0
14,1004225989.1409888053,1,1982,28,46247,2010/3/22,2,0
15,1005051742.1407396692,1,1981,0,55062,2010/3/26,2,0
16,1005072136.1404259615,1,1961,22,79580,2010/3/30,2,0
17,1005413241.1409728489,1,1964,36,48339,2010/4/3,2,0
18,1006518354.1406838801,1,1973,26,81334,2010/4/7,2,0
19,1006527793.1408089383,1,1974,13,34907,2010/4/11,1,0
20,1006772498.1410102694,1,1990,2,66613,2010/4/15,1,0
21,1006858620.1410140684,2,1980,13,63337,2010/4/19,2,0
22,100769109.1404176873,1,1964,15,72959,2010/4/23,1,0
23,1007691702.1409555040,1,1966,0,56508,2010/4/27,1,0
24,100773173.1407337454,1,1971,20,75639,2010/5/1,2,0
25,1007881010.1409112012,1,1976,23,43988,2010/5/5,2,0
26,1008020864.1407813158,1,1973,13,33078,2010/5/9,2,0
27,100830357.1409222241,2,1966,9,62365,2010/5/13,2,0
28,1008576750.1407297877,1,1952,13,54837,2010/5/17,2,0
29,1009213328.1396527757,1,1980,1,47407,2010/5/21,1,0
30,1009341088.1406332492,2,1980,0,88635,2010/5/25,2,0
31,1009341174.1407676916,1,1975,13,51947,2010/5/29,2,0
32,1009495203.1408954585,1,1960,17,30445,2010/6/2,2,0
33,1010689233.1409538884,1,1997,0,78383,2010/6/6,1,0
34,1010961490.1406882194,2,1983,0,86295,2010/6/10,2,0
35,1011078649.1377583502,1,1986,0,53826,2010/6/14,2,0
36,101108326.1406700244,1,1986,13,56565,2010/6/18,2,0
37,1011201397.1409276553,1,1964,12,79735,2010/6/22,2,0
38,1011329307.1406793565,2,1996,0,81635,2010/6/26,2,0
39,1011546950.1409216744,1,1990,9,45392,2010/6/30,2,0
40,1011613848.1408680774,1,1980,8,59734,2010/7/4,2,0
41,1011618448.1406600045,1,1972,25,82235,2010/7/8,1,0
42,101185252.1406614545,1,1974,0,35139,2010/7/12,2,0
43,1011895200.1410259614,1,1979,14,60744,2010/7/16,2,0
44,1012396607.1391437287,1,1990,12,36748,2010/7/20,1,0
45,1012995461.1409621237,1,1964,13,66214,2010/7/24,1,0
46,1013259425.1408956163,2,1992,0,93726,2010/7/28,2,0
47,1013467569.1407206762,1,1980,13,95510,2010/8/1,1,0
48,1013534506.1407744464,1,1961,29,70730,2010/8/5,1,0
49,1013694611.1406787585,2,1992,26,40322,2010/8/9,2,0
50,1013722689.1410239190,1,1989,16,68004,2010/8/13,2,0
51,1013842634.1407900529,2,1991,0,60790,2010/8/17,2,0
52,1014963787.1406722883,1,1991,0,44629,2010/8/21,1,0
53,1015036540.1409302779,2,1995,13,55015,2010/8/25,2,0
54,1015134664.1406676446,1,1996,0,92645,2010/8/29,2,0
55,1016110872.1390032235,2,1995,0,30753,2010/9/2,2,0
56,101649331.1409183291,2,1989,14,37283,2010/9/6,1,0
57,1016671146.1408772787,1,1970,27,66621,2010/9/10,1,0
58,1016704236.1407209706,1,1957,13,31083,2010/9/14,2,0
59,1016947102.1408337301,2,1994,12,62457,2010/9/18,2,0
60,101722586.1408544707,1,1967,0,50603,2010/9/22,2,0
61,1017341224.1399532884,1,1975,0,97363,2010/9/26,2,0
62,1017431526.1409905677,1,1976,0,79945,2010/9/30,2,0
63,1017576440.1410049870,2,1982,28,74489,2010/10/4,5,1
64,1017577313.1395968273,1,1978,31,48859,2010/10/8,1,0
65,1017728833.1406252715,2,1988,8,71817,2010/10/12,1,0
66,1017854012.1408449444,2,1991,19,42181,2010/10/16,2,0
67,1017972107.1406693964,1,1989,10,67418,2010/10/20,1,0
68,1018141390.1409796183,1,1944,11,65665,2010/10/24,1,0
69,1018396895.1407390045,1,1958,13,30239,2010/10/28,2,0
70,1018455136.1407298882,1,1977,21,62670,2010/11/1,2,0
71,1018654007.1408067177,2,1989,13,98422,2010/11/5,2,0
72,1018696302.1409828016,1,1994,0,80129,2010/11/9,1,0
73,1018775582.1409889839,1,1975,23,35873,2010/11/13,2,0
74,101904285.1408434564,2,1975,23,33850,2010/11/17,1,0
75,1019689915.1407649828,1,1972,13,84628,2010/11/21,1,0
76,101969915.1409651655,2,1982,11,34071,2010/11/25,5,1
77,10197561.1407370282,1,1975,14,36724,2010/11/29,1,0
78,1019870348.1386638022,2,1991,0,42931,2010/12/3,2,0
79,1020793397.1406529392,1,1987,0,52634,2010/12/7,2,0
80,1020862418.1408657009,1,1966,1,50752,2010/12/11,2,0
81,1021765718.1409894905,1,1970,13,57051,2010/12/15,5,1
82,1021776637.1408500300,2,1975,35,39174,2010/12/19,2,0
83,1021992408.1407403355,1,1962,14,89679,2010/12/23,2,0
84,102239994.1410016084,2,1994,26,58397,2010/12/27,2,0
85,1022527020.1406448649,2,1976,0,73442,2010/12/31,1,0
86,1022575805.1410351475,2,1986,28,40276,2011/1/1,3,1
87,1022969892.1406864048,2,1983,13,38055,2013/2/1,1,0
88,1023588387.1407483412,1,1987,13,70211,2013/2/1,1,0
89,1023984809.1407478770,1,1960,22,85392,2013/2/1,2,0
90,1024344367.1406520510,2,1976,0,47859,2013/2/1,2,0
91,1024750666.1408326026,1,1969,26,82085,2013/2/1,1,0
92,1024859920.1407925190,1,1969,34,34439,2013/2/1,1,0
93,1024941787.1408692595,1,1985,1,98777,2013/2/1,2,0
94,1025675904.1409193604,1,1952,27,45172,2013/2/1,1,0
95,1026117855.1407374786,1,1978,13,78288,2013/2/1,2,0
96,1026238233.1407135766,1,1976,22,40846,2013/2/1,2,0
97,1026585514.1408414381,2,1981,0,37077,2013/2/1,2,0
98,1026619003.1409186548,2,1977,13,67205,2013/2/1,2,0
99,1026777196.1409592394,2,1989,14,67056,2013/2/1,2,0
100,1027095408.1408694938,1,1935,0,51304,2013/2/1,2,0
101,102723632.1403848311,2,1980,40,78889,2013/2/1,1,0
102,1027273082.1407252183,1,1990,26,95623,2013/2/1,2,0
103,1027939535.1409798239,1,1985,40,52900,2013/2/1,2,0
104,1028392274.1407710188,2,1997,10,61906,2013/2/1,1,0
105,1028846594.1407640319,1,1994,0,65745,2013/2/1,2,0
106,1029093321.1407394796,2,1985,40,88290,2013/2/1,1,0
107,102918764.1408896341,2,1978,23,69986,2013/2/1,1,0
108,102930312.1409927176,1,1991,7,43602,2013/2/1,2,0
109,1029598502.1408928326,2,1989,13,96437,2013/2/1,2,0
110,1029647733.1410265169,1,1967,13,45937,2013/2/1,2,0
111,1029884754.1406874588,1,1982,13,85725,2013/2/1,1,0
112,1029905102.1406807263,2,1976,14,45016,2013/2/1,2,0
113,1029961649.1410148967,2,1988,45,61958,2013/2/1,1,0
114,1030069066.1407395545,2,1970,0,89469,2013/2/1,2,0
115,1030754074.1409583755,1,1996,0,83273,2013/2/1,2,0
116,1030967634.1391396397,2,1980,13,55214,2013/2/1,4,1
117,1031037061.1409887812,1,1975,0,40378,2013/2/1,1,0
118,1031074285.1407484939,2,1990,22,56539,2013/2/1,2,0
119,1031585346.1408593344,2,1989,47,31304,2013/2/1,3,1
120,1031845039.1406599991,2,1976,0,98847,2013/2/1,2,0
121,1031848952.1401417363,2,1977,27,46720,2013/2/1,1,0
122,1032390079.1409664590,1,1979,0,34383,2013/2/1,2,0
123,1032585944.1409730645,2,1988,0,50342,2013/2/1,2,0
124,1032967119.1409534937,1,1962,14,86704,2013/2/1,1,0
125,1033048881.1406773076,1,1992,0,87536,2013/2/1,1,0
126,1033119301.1408082441,2,1991,27,90039,2013/2/1,1,0
127,1033248463.1406278693,2,1995,0,62793,2013/2/1,1,0
128,1033381265.1409027468,1,1993,0,76559,2013/2/1,2,0
129,1034056375.1408098985,1,1989,27,73401,2013/2/1,2,0
130,1034402777.1403840088,2,1983,28,50205,2013/2/2,1,0
131,1034529779.1409624133,2,1982,14,61777,2013/2/2,2,0
132,1034609510.1408075983,1,1988,13,75357,2013/2/2,1,0
133,1034625586.1409773907,2,1973,14,37170,2013/2/2,2,0
134,1034669011.1410238446,2,1990,23,96478,2013/2/2,1,0
135,1034878478.1400051664,2,1991,40,38831,2013/2/2,2,0
136,1034921941.1409194036,2,1993,28,78666,2013/2/2,1,0
137,1035189443.1408844575,1,1980,1,43968,2013/2/2,2,0
138,1035369796.1407542915,1,1982,13,91071,2013/2/2,1,0
139,1035383741.1406877593,1,1951,32,63928,2013/2/2,1,0
140,1035781.1409725247,2,1993,13,90862,2013/2/2,2,0
141,1035867432.1409750536,1,1976,14,90239,2013/2/2,1,0
142,1036073641.1407982181,2,1976,28,91279,2013/2/2,2,0
143,1036448750.1407437367,1,1990,4,64523,2013/2/2,2,0
144,1036464588.1409031456,2,1992,9,93569,2013/2/2,2,0
145,103692667.1409274966,2,1983,0,71654,2013/2/2,3,1
146,1037263261.1409964948,1,1990,0,61279,2013/2/2,2,0
147,1037529956.1406646497,1,1956,0,57066,2013/2/2,2,0
148,1038036939.1409554268,1,1977,28,54685,2013/2/2,1,0
149,1038072929.1407460178,1,1986,14,49332,2013/2/2,1,0
150,1038134476.1409621095,2,1988,40,47310,2013/2/2,1,0
151,1038235896.1409910219,2,1985,0,86511,2013/2/2,1,0
152,1038347835.1409361783,1,1980,13,87254,2013/2/2,2,0
153,1038498669.1406697842,1,1989,28,50461,2013/2/2,2,0
154,1038511820.1407306629,2,1986,14,58039,2013/2/2,1,0
155,1038826626.1407497515,1,1980,13,36671,2013/2/2,1,0
156,1039262345.1407334121,1,1971,30,73245,2013/2/2,1,0
157,1039686052.1408721679,2,1983,12,96592,2013/2/2,2,0
158,103990849.1408276360,1,1986,13,36176,2013/2/2,1,0
159,1040042549.1406784245,1,1977,0,58326,2013/2/2,1,0
160,1040044564.1407354148,1,1974,13,78779,2013/2/2,2,0
161,1040173582.1410015069,1,1956,0,44744,2013/2/2,2,0
162,104046047.1399795413,2,1993,0,91195,2013/2/2,2,0
163,1040593795.1409141577,2,1996,12,67744,2013/2/2,1,0
164,1040924732.1409108015,1,1979,0,34451,2013/2/2,1,0
165,1041488156.1407233929,1,1973,11,89629,2013/2/2,2,0
166,1041566707.1396499213,1,1975,25,80281,2013/2/2,1,0
167,1041766900.1407313452,1,1974,27,35100,2013/2/2,2,0
168,1042087490.1404184570,2,1972,0,55424,2013/2/2,1,0
169,1042173059.1408744614,1,1979,12,91634,2013/2/2,2,0
170,1042232235.1410154873,2,1988,13,31335,2013/2/2,1,0
171,1042257695.1409804495,1,1968,0,91995,2013/2/2,2,0
172,104315933.1406593060,1,1986,14,64057,2013/2/2,2,0
173,1043313483.1408671017,2,1989,0,51540,2013/2/2,1,0
174,1043571449.1406595875,1,1994,13,56037,2013/2/2,1,0
175,1043729488.1406190568,2,1970,11,54129,2013/2/2,1,0
176,1043735957.1409819177,1,1980,40,66761,2013/2/2,2,0
177,1043740278.1406283881,1,1994,0,45441,2013/2/2,2,0
178,1043778004.1408151453,2,1973,14,31492,2013/2/2,1,0
179,1043780436.1409712970,1,1977,14,67989,2013/2/2,4,1
180,1044175594.1409905225,1,1974,28,53951,2013/2/2,2,0
181,1044552356.1409290879,1,1983,15,79436,2013/2/2,2,0
182,1044693468.1407491610,1,1982,37,81248,2013/2/2,2,0
183,1044888762.1407377524,1,1958,3,35085,2013/2/2,2,0
184,1045053580.1406175981,1,1966,22,45467,2013/2/2,2,0
185,1045367637.1406224753,2,1978,4,81237,2013/2/2,1,0
